Gender,Surface,Winner,Loser,WRank,LRank,WPts,LPts
Male,Hard,Matosevic M.,Benneteau J.,61,35,774,1160
Male,Hard,Nieminen J.,Duckworth J.,39,136,1090,425
Male,Hard,Cilic M.,Istomin D.,37,45,1130,965
Male,Hard,Querrey S.,Tursunov D.,46,29,960,1244
Male,Hard,Dimitrov G.,Haase R.,23,43,1520,977
Male,Hard,Mahut N.,Sijsling I.,50,70,918,697
Male,Hard,Ebden M.,Kuznetsov Al.,68,142,706,397
Male,Hard,Lopez F.,Kukushkin M.,28,67,1310,721
Male,Hard,Chardy J.,Mannarino A.,34,59,1175,784
Male,Hard,Copil M.,Sugita Y.,147,170,369,310
Male,Hard,Hewitt L.,Kokkinakis T.,60,628,780,41
Male,Hard,Groth S.,Harrison R.,172,100,307,549
Male,Hard,Matosevic M.,Querrey S.,61,46,774,960
Male,Hard,Cilic M.,Dimitrov G.,37,23,1130,1520
Male,Hard,Nishikori K.,Ebden M.,17,68,1915,706
Male,Hard,Federer R.,Nieminen J.,6,39,4205,1090
Male,Hard,Chardy J.,Mahut N.,34,50,1175,918
Male,Hard,Copil M.,Simon G.,147,19,369,1790
Male,Hard,Hewitt L.,Lopez F.,60,28,780,1310
Male,Hard,Groth S.,Herbert P.H.,172,151,307,344
Male,Hard,Nishikori K.,Cilic M.,17,37,1915,1130
Male,Hard,Hewitt L.,Copil M.,60,147,780,369
Male,Hard,Chardy J.,Groth S.,34,172,1175,307
Male,Hard,Federer R.,Matosevic M.,6,61,4205,774
Male,Hard,Hewitt L.,Nishikori K.,60,17,780,1915
Male,Hard,Federer R.,Chardy J.,6,34,4205,1175
Male,Hard,Hewitt L.,Federer R.,60,6,780,4205
Male,Hard,Lu Y.H.,Smyczek T.,65,89,730,600
Male,Hard,Vesely J.,Nedunchezhiyan J.,85,314,616,141
Male,Hard,Sela D.,Lacko L.,73,81,681,625
Male,Hard,Pospisil V.,Edmund K.,32,376,1219,110
Male,Hard,Bedene A.,Laaksonen H.,95,244,573,191
Male,Hard,Roger-Vasselin E.,Ramos A.,52,83,908,617
Male,Hard,Bhambri Y.,Carreno-Busta P.,195,64,258,739
Male,Hard,Kudryavtsev A.,Bautista R.,270,58,170,810
Male,Hard,Ramanathan R.,Devvarman S.,526,90,65,599
Male,Hard,Becker B.,Reister J.,79,86,637,612
Male,Hard,Granollers M.,Albot R.,222,169,215,311
Male,Hard,Garcia-Lopez G.,Nedovyesov A.,62,93,768,586
Male,Hard,Roger-Vasselin E.,Vesely J.,52,85,908,616
Male,Hard,Sela D.,Youzhny M.,73,15,681,2145
Male,Hard,Wawrinka S.,Becker B.,8,79,3730,637
Male,Hard,Bedene A.,Kudryavtsev A.,95,270,573,170
Male,Hard,Bhambri Y.,Fognini F.,195,16,258,1930
Male,Hard,Granollers M.,Ramanathan R.,222,526,215,65
Male,Hard,Pospisil V.,Lu Y.H.,32,65,1219,730
Male,Hard,Paire B.,Garcia-Lopez G.,26,62,1345,768
Male,Hard,Roger-Vasselin E.,Sela D.,52,73,908,681
Male,Hard,Wawrinka S.,Bedene A.,8,95,3730,573
Male,Hard,Granollers M.,Paire B.,222,26,215,1345
Male,Hard,Pospisil V.,Bhambri Y.,32,195,1219,258
Male,Hard,Roger-Vasselin E.,Granollers M.,52,222,908,215
Male,Hard,Wawrinka S.,Pospisil V.,8,32,3730,1219
Male,Hard,Wawrinka S.,Roger-Vasselin E.,8,52,3730,908
Male,Hard,Monfils G.,Giraldo S.,31,69,1230,703
Male,Hard,Kubot L.,Gimeno-Traver D.,72,77,686,650
Male,Hard,Karlovic I.,Berdych T.,78,7,647,4180
Male,Hard,Verdasco F.,Volandri F.,30,71,1235,694
Male,Hard,Hanescu V.,Sousa J.,80,49,636,934
Male,Hard,Kamke T.,Jaziri M.,74,168,663,312
Male,Hard,Brown D.,Dodig I.,111,33,506,1190
Male,Hard,Gojowczyk P.,Thiem D.,162,139,321,410
Male,Hard,Murray A.,Zayed M.S.,4,N/A,5790,N/A
Male,Hard,Brands D.,Davydenko N.,54,53,836,890
Male,Hard,Ferrer D.,Dolgopolov O.,3,57,5800,825
Male,Hard,Mayer F.,Przysiezny M.,40,66,1065,730
Male,Hard,Gulbis E.,Evans D.,24,150,1393,346
Male,Hard,Nadal R.,Rosol L.,1,47,13030,956
Male,Hard,Kohlschreiber P.,Andujar P.,22,48,1525,946
Male,Hard,Gasquet R.,Hossam K.,9,338,3300,127
Male,Hard,Gojowczyk P.,Kohlschreiber P.,162,22,321,1525
Male,Hard,Mayer F.,Murray A.,40,4,1065,5790
Male,Hard,Hanescu V.,Verdasco F.,80,30,636,1235
Male,Hard,Brown D.,Karlovic I.,111,78,506,647
Male,Hard,Nadal R.,Kamke T.,1,74,13030,663
Male,Hard,Gulbis E.,Kubot L.,24,72,1393,686
Male,Hard,Brands D.,Ferrer D.,54,3,836,5800
Male,Hard,Monfils G.,Gasquet R.,31,9,1230,3300
Male,Hard,Gojowczyk P.,Brown D.,162,111,321,506
Male,Hard,Nadal R.,Gulbis E.,1,24,13030,1393
Male,Hard,Mayer F.,Hanescu V.,40,80,1065,636
Male,Hard,Monfils G.,Brands D.,31,54,1230,836
Male,Hard,Nadal R.,Gojowczyk P.,1,162,13030,321
Male,Hard,Monfils G.,Mayer F.,31,40,1230,1065
Male,Hard,Nadal R.,Monfils G.,1,31,13030,1230
Male,Hard,Giraldo S.,Montanes A.,68,59,703,766
Male,Hard,Sock J.,Mannarino A.,100,71,545,692
Male,Hard,Zeballos H.,Volandri F.,66,70,710,694
Male,Hard,Young D.,Delbonis F.,96,54,563,826
Male,Hard,Lacko L.,Statham J.,90,288,595,155
Male,Hard,Garcia-Lopez G.,Haase R.,58,44,776,977
Male,Hard,Bautista R.,Gimeno-Traver D.,73,80,680,650
Male,Hard,Kohlschreiber P.,Carreno-Busta P.,22,61,1525,739
Male,Hard,Lu Y.H.,Sijsling I.,62,69,730,697
Male,Hard,Paire B.,Przysiezny M.,28,63,1300,730
Male,Hard,Klahn B.,Brands D.,95,57,568,779
Male,Hard,Johnson S.,Baghdatis M.,160,109,327,515
Male,Hard,Sock J.,Haas T.,100,12,545,2435
